DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,SMILES,INCHI_STRING,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,DATA_SOURCES,NUMBER_OF_PUBMED_ARTICLES,PUBCHEM_DATA_SOURCES,CPDAT_COUNT
DTXSID0020020,4-Acetylaminophenylacetic acid,18699-02-0,MROJXXOCABQVEF-UHFFFAOYSA-N,(4-Acetamidophenyl)acetic acid,CC(=O)NC1=CC=C(CC(O)=O)C=C1,"InChI=1S/C10H11NO3/c1-7(12)11-9-4-2-8(3-5-9)6-10(13)14/h2-5H,6H2,1H3,(H,11,12)(H,13,14)",C10H11NO3,193.202,193.0738932,35,19,92,2
DTXSID0020022,Acifluorfen,50594-66-6,NUFNQYOELLVIPL-UHFFFAOYSA-N,5-[2-Chloro-4-(trifluoromethyl)phenoxy]-2-nitrobenzoic acid,OC(=O)C1=C(C=CC(OC2=CC=C(C=C2Cl)C(F)(F)F)=C1)[N+]([O-])=O,"InChI=1S/C14H7ClF3NO5/c15-10-5-7(14(16,17)18)1-4-12(10)24-8-2-3-11(19(22)23)9(6-8)13(20)21/h1-6H,(H,20,21)",C14H7ClF3NO5,361.66,360.9964845,66,50,74,36
DTXSID0020024,Acrolein diethylacetal,3054-95-3,MCIPQLOKVXSHTD-UHFFFAOYSA-N,"3,3-Diethoxyprop-1-ene",CCOC(OCC)C=C,"InChI=1S/C7H14O2/c1-4-7(8-5-2)9-6-3/h4,7H,1,5-6H2,2-3H3",C7H14O2,130.187,130.0993797,28,1,73,2
DTXSID0020070,6-Aminocaproic acid,60-32-2,SLXKOJJOQWFEFD-UHFFFAOYSA-N,6-Aminohexanoic acid,NCCCCCC(O)=O,"InChI=1S/C6H13NO2/c7-5-3-1-2-4-6(8)9/h1-5,7H2,(H,8,9)",C6H13NO2,131.175,131.0946287,50,1591,224,12
DTXSID0020072,4-Biphenylamine hydrochloride,2113-61-3,GUHXYHYUBFCYGJ-UHFFFAOYSA-N,"[1,1'-Biphenyl]-4-amine--hydrogen chloride (1/1)",Cl.NC1=CC=C(C=C1)C1=CC=CC=C1,"InChI=1S/C12H11N.ClH/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10;/h1-9H,13H2;1H",C12H12ClN,205.69,205.0658271,27,292,20,7
DTXSID0020074,Gabapentin,60142-96-3,UGJMXCAKCUNAIE-UHFFFAOYSA-N,[1-(Aminomethyl)cyclohexyl]acetic acid,NCC1(CC(O)=O)CCCCC1,"InChI=1S/C9H17NO2/c10-7-9(6-8(11)12)4-2-1-3-5-9/h1-7,10H2,(H,11,12)",C9H17NO2,171.24,171.1259288,54,3053,177,29
DTXSID0020076,Amitrole,61-82-5,KLSJWNVTNUYHDU-UHFFFAOYSA-N,"1H-1,2,4-Triazol-3-amine",NC1=NNC=N1,"InChI=1S/C2H4N4/c3-2-4-1-5-6-2/h1H,(H3,3,4,5,6)",C2H4N4,84.082,84.04359615,92,7089,200,28
DTXSID0020101,Aroclor 1260,11096-82-5,-,-,-,-,-,-,-,31,78,-,7
DTXSID0020103,Arsenic oxide (As2O3),1327-53-3,QTLQKAJBUDWPIB-UHFFFAOYSA-N,-,[O--].[O--].[O--].[As+3].[As+3],InChI=1S/2As.3O/q2*+3;3*-2,As2O3,197.84,197.827934,52,2384,16,56
DTXSID0020105,Sodium L-ascorbate,134-03-2,PPASLZSBLFJQEF-RXSVEWSESA-M,-,[Na+].OC[C@H](O)[C@H]1OC(=O)C(O)=C1[O-],"InChI=1S/C6H8O6.Na/c7-1-2(8)5-3(9)4(10)6(11)12-5;/h2,5,7-10H,1H2;/q;+1/p-1/t2-,5+;/m0./s1",C6H7NaO6,198.106,198.0140322,43,38756,41,1089
