	stitch_flat	stitch_stereo	UMLS_label	type	meddra	se_name	pubchem_cid	ukb	ae
8	CID100000085	CID000010917	C0002871	PT	C0002871	Anaemia	85	Non-cancer illness code, self-reported: anaemia	1
14	CID100000085	CID000010917	C0003811	PT	C0003811	Arrhythmia	85	Non-cancer illness code, self-reported: heart arrhythmia	1
18	CID100000085	CID000010917	C0004238	PT	C0004238	Atrial fibrillation	85	Non-cancer illness code, self-reported: atrial fibrillation	1
20	CID100000085	CID000010917	C0004604	PT	C0004604	Back pain	85	Dorsalgia	1
22	CID100000085	CID000010917	C0006277	PT	C0006277	Bronchitis	85	Bronchitis	1
26	CID100000085	CID000010917	C0008031	PT	C0008031	Chest pain	85	Chest pain or discomfort	1
30	CID100000085	CID000010917	C0009806	PT	C0009806	Constipation	85	Non-cancer illness code, self-reported: constipation	1
32	CID100000085	CID000010917	C0010200	PT	C0010200	Cough	85	Diagnoses - main ICD10: R05 Cough	1
34	CID100000085	CID000010917	C0011570	PT	C0011570	Depression	85	Non-cancer illness code, self-reported: depression	1
42	CID100000085	CID000010917	C0013395	PT	C0013395	Dyspepsia	85	Diagnoses - main ICD10: K30 Dyspepsia	1
46	CID100000085	CID000010917	C0015230	PT	C0015230	Rash	85	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
55	CID100000085	CID000010917	C0017178	PT	C0017178	Gastrointestinal disorder	85	Non-cancer illness code, self-reported: stomach disorder	1
57	CID100000085	CID000010917	C0018681	PT	C0018681	Headache	85	Diagnoses - main ICD10: R51 Headache	1
68	CID100000085	CID000010917	C0020538	PT	C0020538	Hypertension	85	Non-cancer illness code, self-reported: hypertension	1
70	CID100000085	CID000010917	C0020649	PT	C0020649	Hypotension	85	Diagnoses - main ICD10: I95 Hypotension	1
82	CID100000085	CID000010917	C0030193	PT	C0030193	Pain	85	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
92	CID100000085	CID000010917	C0033774	PT	C0033774	Pruritus	85	Diagnoses - main ICD10: L29 Pruritus	1
100	CID100000085	CID000010917	C0037199	PT	C0037199	Sinusitis	85	Diagnoses - main ICD10: J32 Chronic sinusitis	1
108	CID100000085	CID000010917	C0042571	PT	C0042571	Vertigo	85	Diagnoses - main ICD10: R42 Dizziness and giddiness	1
127	CID100000085	CID000010917	C0231528	PT	C0231528	Myalgia	85	Myalgia	1
136	CID100000085	CID000010917	C0917801	PT	C0917801	Insomnia	85	Non-cancer illness code, self-reported: insomnia	1
140	CID100000085	CID000010917	C1510472	PT	C1510472	Drug dependence	85	Substance abuse	1
146	CID100000119	CID000000119	C0030193	PT	C0030193	Pain	119	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
148	CID100000119	CID000000119	C0042109	PT	C0042109	Urticaria	119	Non-cancer illness code, self-reported: urticaria	1
152	CID100000137	CID000000137	C0002871	PT	C0002871	Anaemia	137	Non-cancer illness code, self-reported: anaemia	1
166	CID100000137	CID000000137	C0015230	PT	C0015230	Rash	137	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
175	CID100000137	CID000000137	C0017178	PT	C0017178	Gastrointestinal disorder	137	Non-cancer illness code, self-reported: stomach disorder	1
179	CID100000137	CID000000137	C0018681	PT	C0018681	Headache	137	Diagnoses - main ICD10: R51 Headache	1
197	CID100000137	CID000000137	C0020649	PT	C0020649	Hypotension	137	Diagnoses - main ICD10: I95 Hypotension	1
203	CID100000137	CID000000137	C0027651	PT	C0027651	Neoplasm	137	Neoplasms	1
205	CID100000137	CID000000137	C0027765	PT	C0027765	Nervous system disorder	137	Diseases of the nervous system	1
210	CID100000137	CID000000137	C0030193	PT	C0030193	Pain	137	Diagnoses - main ICD10: R52 Pain, not elsewhere classified	1
216	CID100000137	CID000000137	C0033774	PT	C0033774	Pruritus	137	Diagnoses - main ICD10: L29 Pruritus	1
229	CID100000137	CID000000137	C0040034	PT	C0040034	Thrombocytopenia	137	Thrombocytopenia, unspecified	1
270	CID100000137	CID000000137	C0221232	PT	C0042109	Urticaria	137	Non-cancer illness code, self-reported: urticaria	1
282	CID100000137	CID000000137	C0267792	PT	C0267792	Hepatobiliary disease	137	Diseases of liver	1
302	CID100000137	CID000000137	C0699893	PT	C0007114	Skin cancer	137	Malignant neoplasm of skin	1
304	CID100000137	CID000000137	C0702166	PT	C0702166	Acne	137	Non-cancer illness code, self-reported: acne/acne vulgaris	1
329	CID100000143	CID000000143	C0009806	PT	C0009806	Constipation	143	Non-cancer illness code, self-reported: constipation	1
335	CID100000143	CID000000143	C0015230	PT	C0015230	Rash	143	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
351	CID100000143	CID000000143	C0033774	PT	C0033774	Pruritus	143	Diagnoses - main ICD10: L29 Pruritus	1
357	CID100000143	CID000000143	C0040034	PT	C0040034	Thrombocytopenia	143	Thrombocytopenia, unspecified	1
361	CID100000143	CID000000143	C0042109	PT	C0042109	Urticaria	143	Non-cancer illness code, self-reported: urticaria	1
381	CID100000143	CID000000143	C2609414	PT	C0022660	Renal failure acute	143	Diagnoses - main ICD10: N17 Acute renal failure	1
415	CID100000143	CID000006006	C0039070	PT	C0039070	Syncope	143	Diagnoses - main ICD10: R55 Syncope and collapse	1
451	CID100000143	CID000149436	C0013395	PT	C0013395	Dyspepsia	143	Diagnoses - main ICD10: K30 Dyspepsia	1
461	CID100000143	CID000149436	C0017178	PT	C0017178	Gastrointestinal disorder	143	Non-cancer illness code, self-reported: stomach disorder	1
500	CID100000143	CID000149436	C0442874	PT	C0031117	Neuropathy peripheral	143	Non-cancer illness code, self-reported: peripheral neuropathy	1
511	CID100000158	CID005280360	C0003811	PT	C0003811	Arrhythmia	158	Non-cancer illness code, self-reported: heart arrhythmia	1
513	CID100000158	CID005280360	C0003862	PT	C0003862	Arthralgia	158	Non-cancer illness code, self-reported: joint pain	1
518	CID100000158	CID005280360	C0004096	PT	C0004096	Asthma	158	Non-cancer illness code, self-reported: asthma	1
520	CID100000158	CID005280360	C0004604	PT	C0004604	Back pain	158	Dorsalgia	1
524	CID100000158	CID005280360	C0008031	PT	C0008031	Chest pain	158	Chest pain or discomfort	1
526	CID100000158	CID005280360	C0010200	PT	C0010200	Cough	158	Diagnoses - main ICD10: R05 Cough	1
542	CID100000158	CID005280360	C0015230	PT	C0015230	Rash	158	Diagnoses - main ICD10: R21 Rash and other nonspecific skin eruption	1
551	CID100000158	CID005280360	C0018681	PT	C0018681	Headache	158	Diagnoses - main ICD10: R51 Headache	1
